GPStime,peakFreq,snr,Standard example? (y/n)
1242569076.023,34.59,21.772,n
1242569064.633,34.59,27.272,n
1247104657.078,36.625,7.613,y
1242948671.875,31.509,11.039,y
1250040616.992,27.308,8.037,y
1238368065.977,27.9,8.913,y
1242948417.375,31.509,7.925,y
1253312085.141,28.43,9.172,y
1253421122.586,27.308,9.699,y
1241213725.125,30.92,10.658,y
1249330225.195,27.308,8.409,y
1253585385.445,30.734,8.618,y
1251963205.875,33.663,8.379,y
1251531882.641,30.288,11.103,y
1245112389.016,34.378,8.046,y
1247264171.414,30.734,9.373,n
1244831703.594,29.735,7.578,y
1251661912.984,25.048,120.909,y
1249461293.531,35.163,7.628,y
1249339071.617,30.734,10.899,y
1253418802.852,30.734,13.527,n
1247131858.961,27.308,21.63,n
1250084196.305,34.59,14.023,n
1248814255.938,30.487,8.575,y
1253586474.984,30.288,7.91,y
1248222295.375,25.356,22.596,y
1244833051.375,28.941,33.22,y
1248312778.125,28.941,8.698,y
1252800297.234,32.268,8.196,y
1250450789.875,28.941,8.612,y
1253419143.508,27.308,9.173,y
1251922246.266,28.43,7.97,y
1253585556.672,30.288,8.919,n
1253136663.773,27.308,7.721,y
1244843015.625,30.629,10.617,y
1253419977.008,24.264,7.717,y
1246515039.625,26.835,8.804,y
1240350014.125,33.12,7.83,y
1247216821.625,26.085,18.635,y
1241791871.609,34.378,7.951,y
1253417508.234,34.378,7.676,y
1251347162.563,26.433,7.83,y
1253590056.625,26.583,7.737,y
1247410924.359,39.02,8.38,y
1247454305.125,27.09,8.69,y
1253768718.313,28.388,8.288,y
1251488690.189,75.263,59.656,y
1253580656.906,24.316,9.508,n
1247526185.117,34.59,8.048,y
1250109537.375,28.133,7.975,y
1248312773.563,28.388,7.841,y
1248737086.047,30.288,8.286,y
1253592832.109,34.378,10.439,n
1244498478.625,28.941,9.807,y
1249461714.625,28.941,13.265,y
1244700081.078,28.43,12.068,y
1239500547.293,30.687,9.639,n
1244943828.234,26.685,7.735,y
1240602577.875,34.397,11.008,y
1241443372.762,32.173,11.291,n
1242753191.715,26.015,8.223,y
1242569083.883,27.308,8.321,y
1247448492.125,30.629,9.137,y
1248292604.602,27.308,8.635,y
1253738420.023,27.308,8.265,n
1252689866.047,30.288,7.926,y
1250780573.875,23.511,8.651,y
1248306499.125,31.213,8.024,y
1252097723.875,30.629,9.704,y
1244949788.688,24.613,8.287,y
1245125453.375,19.28,7.705,y
1242845465.375,28.669,7.62,y
1248260064.625,27.606,7.621,y
1239943873.820,31.386,9.374,n
