GPStime,peakFreq,snr,Standard example? (y/n)
1253940741.813,40.281,107.618,y
1253940684.938,46.853,25.083,y
1238738333.875,31.59,11.403,n
1253940549.063,39.527,47.664,y
1238552901.375,31.59,11.972,n
1238368990.063,31.288,9.106,n
1253420810.375,31.509,10.698,y
1253940500.313,38.062,55.966,y
1238353740.375,30.998,14.659,n
1239010319.625,30.706,17.051,y
1240424487.563,37.387,35.884,y
1238355023.688,31.851,10.719,n
1238563812.125,31.89,9.539,n
1239964164.375,31.89,19.525,y
1238635379.875,32.193,13.323,n
1239251703.125,31.293,13.033,n
1247975683.563,31.594,13.377,y
1245414953.188,33.93,12.442,y
1239250849.375,30.706,9.216,n
1238920078.313,31.288,12.391,n
1238646393.375,31.59,11.112,n
1238371097.875,31.293,10.251,n
1253940635.688,45.544,58.773,y
1238555351.375,31.89,10.254,n
1242267320.625,31.509,11.418,n
1245414571.313,31.594,11.171,n
1238356760.813,31.288,8.156,n
1238535520.375,32.499,9.902,n
1238517334.188,31.288,11.996,n
1253941118.625,31.213,10.279,y
1239249170.063,30.736,9.637,n
1238551258.063,31.851,9.485,n
1244870241.063,24.178,17.837,y
1248313304.563,31.594,11.516,y
1239169387.313,32.423,11.173,n
1244867059.688,31.035,10.814,n
1243897948.688,45.116,20.606,n
1253940557.813,40.281,73.702,y
1241196884.875,32.723,11.521,n
1238555087.438,38.168,43.303,y
1250187824.438,31.035,9.728,y
1238354515.938,24.384,15.063,y
1252765685.375,31.213,16.348,y
1238534172.313,31.288,8.253,n
1238354642.125,31.89,9.445,n
1238908312.563,30.193,7.526,n
1253940644.063,36.306,39.817,y
1238554872.875,32.499,11.611,n
1238722987.625,31.59,9.586,n
1238354115.813,31.851,9.525,n
1238554863.625,31.59,12.7,n
1238732434.813,31.288,8.597,n
1238909604.875,30.417,15.449,y
1238908991.063,33.598,18.275,n
1253581334.875,31.213,10.421,y
1253940558.188,40.281,121.684,y
1238561705.563,31.288,15.466,y
