GPStime,peakFreq,snr,Standard example?(y/n)
1238326222.734,35.205,17.763,y
1243682395.203,34.378,16.017,y
1245144371.547,30.288,15.995,y
1239737657.047,25.687,15.608,y
1239634982.078,35.205,15.001,y
1245773928.359,39.02,14.817,y
1243252039.359,34.378,14.488,y
1248291487.297,39.02,14.083,y
1243429941.297,41.57,14.082,y
1240917568.328,39.02,13.869,y
1239787692.961,45.301,13.694,y
1239993764.266,37.495,13.649,y
1252961821.898,34.59,13.469,y
1238247934.266,39.935,13.298,y
1253329533.172,36.625,13.272,y
1243260069.523,34.59,13.107,y
1240750934.789,30.734,13.027,y
1245569517.414,30.734,12.968,y
1239734075.352,27.9,12.929,y
1240771059.797,41.57,12.774,y
1239008817.984,29.138,12.742,y
1239220845.891,37.495,12.662,y
1243619395.898,44.288,12.646,y
1239201635.273,31.386,12.626,y
1238338625.109,35.205,12.572,y
1240000138.789,27.9,12.5,y
1239196651.922,37.495,12.456,y
1250002601.172,39.02,12.423,y
1240724012.352,34.59,12.382,y
1243266942.734,34.378,12.374,y
1249997901.734,41.57,12.285,y
1243436184.078,30.288,12.241,y
1238294472.727,27.9,12.187,y
1244318064.703,32.268,12.082,y
1238169072.984,31.034,12.057,y
1243266388.680,34.59,12.056,y
1239619335.109,35.205,11.945,y
1243689720.922,32.268,11.943,y
1243407957.766,39.02,11.912,y
1243623794.328,34.378,11.861,y
1249966316.391,39.02,11.81,y
1243408715.297,32.268,11.786,y
1239994602.859,33.054,11.73,y
1243253816.164,34.59,11.721,y
1239999763.109,35.205,11.703,y
1243535526.578,36.625,11.693,y
1245569505.297,34.378,11.46,y
1238341527.891,37.495,11.456,y
1253029158.273,38.93,11.361,y
1240751260.008,34.59,11.35,y
1243442178.227,34.59,11.33,y
1253329519.859,41.57,11.326,y
1238327103.898,35.306,11.166,y
1239395217.648,24.802,11.083,y
1242916605.023,44.288,10.99,y
1248324811.664,30.734,10.893,y
1238269938.234,33.054,10.839,y
1251137448.273,27.308,10.801,y
1238294394.898,31.386,10.686,y
1243612824.359,36.625,10.677,y
1245132070.797,28.43,10.654,y
1243254230.484,39.02,10.652,y
1240933589.055,44.288,10.551,y
1243263569.320,38.93,10.518,y
1243602280.359,41.57,10.477,y
1250106204.891,36.625,10.475,y
1240769381.984,30.288,10.47,y
1239130649.078,39.935,10.444,y
1243263550.930,38.93,10.401,y
1240748029.234,34.378,10.4,y
1239203101.211,35.306,10.378,y
1238363123.984,27.358,10.353,y
1243594541.930,27.308,10.352,y
1242662299.148,27.308,10.326,y
1239130515.828,29.138,10.324,y
1243252912.641,32.268,10.294,y
1239636693.703,33.054,10.293,y
1250440105.008,30.734,10.283,y
1243432732.492,38.93,10.197,y
1243252914.563,24.178,10.185,y
1239770872.039,31.386,10.179,y
1238269935.359,35.205,10.177,y
1243263516.391,36.625,10.164,y
1243351231.859,34.378,10.155,y
1243454401.266,32.268,10.139,y
1243266151.828,41.57,10.139,y
1243685201.133,30.734,10.133,y
1239993647.922,27.358,10.133,y
1238356564.242,39.717,10.119,y
1243361590.531,25.146,10.107,y
1238849935.383,27.9,10.025,y
1243449416.930,27.308,10.012,y
1239210967.742,31.386,10,y
1249966425.672,41.57,9.934,y
1239993762.078,39.935,9.9,y
1243606986.203,30.288,9.895,y
1253108219.922,23.511,9.881,y
1243624821.422,34.378,9.875,y
1243605639.977,27.308,9.872,y
1243625651.266,36.625,9.866,y
1243691939.109,34.378,9.852,y
1243266168.234,39.02,9.843,y
1251055671.758,43.814,9.834,y
1239203104.086,31.386,9.79,y
1250440143.945,30.734,9.788,y
1243631714.109,34.378,9.718,y
1238349831.391,35.205,9.642,y
1239198765.859,33.054,9.637,y
1248965225.922,36.625,9.621,y
1239207339.391,33.054,9.585,y
1239212320.789,27.9,9.484,y
1240771069.516,36.625,9.433,y
1243601668.859,30.288,9.381,y
1243435133.078,36.625,9.299,y
1239130511.055,31.386,9.276,y
1242316121.766,39.02,9.252,y
1240920414.609,41.57,9.2,y
1253211292.484,32.268,9.179,y
1243629450.055,38.93,9.171,y
1251056084.945,34.59,9.162,y
1248242493.102,30.734,9.156,y
1238184191.547,31.034,9.151,y
1243587833.047,36.625,9.139,y
1243255413.430,30.734,9.098,y
1243621935.234,34.378,9.098,y
1243615678.773,34.59,9.086,y
1238267938.609,35.205,9.018,y
1243337090.602,27.308,8.958,y
1243257891.758,27.308,8.941,y
1243623743.359,32.268,8.939,y
1250438747.203,28.43,8.915,y
1238268348.773,31.386,8.904,y
1244674074.422,26.685,8.889,y
1243623685.070,34.59,8.82,y
1242316129.641,41.57,8.816,y
1238325807.516,31.034,8.767,y
1243443964.797,26.685,8.725,y
1238355127.422,33.054,8.698,y
1243623807.805,34.59,8.689,y
1243133114.484,32.268,8.63,y
1243079043.273,34.59,8.622,y
1250592427.516,28.43,8.456,y
1243436390.047,34.378,8.442,y
1243266944.641,36.625,8.424,y
1242316012.047,34.378,8.418,y
1243253894.148,27.308,8.361,y
1238328100.883,35.306,8.291,y
1239787484.141,37.495,8.233,y
1238548138.461,27.9,8.205,y
1239450708.539,24.802,8.189,y
1238266681.422,35.205,8.178,y
1239634713.680,27.9,8.176,y
1243440445.117,30.734,8.148,y
1238339492.258,27.9,8.029,y
1245162154.633,34.59,8.026,y
1239452833.141,42.534,8.025,y
1243436662.727,27.308,7.844,y
1243607323.367,38.93,7.811,y
1243612804.508,34.59,7.802,y
1240774076.172,32.268,7.739,y
1243626478.203,34.378,7.65,y
1243587829.141,34.378,7.65,y
1243587833.703,34.378,7.634,y
1243346346.961,38.93,7.564,y
1238326218.359,35.205,15.072,y
1238350020.195,35.306,14.298,y
1243438816.273,30.734,14.204,y
1238335289.609,42.534,13.643,y
1239993543.195,27.9,13.088,y
1243252307.867,30.734,12.795,y
1243253659.547,41.57,12.766,y
1240771034.953,41.57,12.69,y
1240751156.523,27.308,12.686,y
1243251324.891,36.625,12.55,y
1240748679.234,32.268,12.524,y
1243265426.047,39.02,12.324,y
1239207127.766,33.054,12.249,y
1238319929.609,33.054,12.248,y
1243435126.078,36.625,12.218,y
1238268047.422,39.935,12.105,y
1238547858.789,31.386,12.06,y
1241895426.234,34.378,12.056,y
1243337822.359,34.378,11.884,y
1243258167.508,34.59,11.868,y
1238267078.609,39.935,11.75,y
1243263263.398,38.93,11.678,y
1253031111.766,34.378,11.646,y
1243436006.391,36.625,11.637,y
1243631269.234,36.625,11.626,y
1243260422.602,30.734,11.622,y
1249220144.922,41.57,11.525,y
1243257737.367,30.734,11.522,y
1239196171.203,31.034,11.51,y
1243614657.555,34.59,11.431,y
1243601554.734,41.57,11.418,y
1243474833.211,38.93,11.367,y
1243337804.016,32.268,11.365,y
1243434753.109,39.02,11.347,y
1238419125.078,33.054,11.331,y
1253288531.484,36.625,11.228,y
1238443670.227,31.386,11.207,y
1243266391.328,34.378,11.205,y
1238325298.016,35.205,11.202,y
1240750932.133,30.734,11.2,y
1243689476.180,34.59,11.137,y
1243611890.758,44.288,11.125,y
1243335483.398,44.288,11.118,y
1243437459.727,30.734,11.11,y
1243429398.234,34.378,11.103,y
1241874960.164,30.734,11.017,y
1243253987.641,34.378,11.001,y
1243617740.133,44.288,10.973,y
1239396421.633,31.386,10.919,y
1239132988.133,35.306,10.885,y
1243253509.945,38.93,10.88,y
1253029935.086,30.734,10.853,y
1243345260.672,32.268,10.841,y
1238294521.805,27.9,10.802,y
1238276345.641,33.054,10.786,y
1239205545.047,29.138,10.775,y
1238324764.141,35.205,10.766,y
1243684546.836,34.59,10.73,y
1238345395.508,35.306,10.728,y
1239209536.961,35.306,10.722,y
1249838167.477,38.93,10.719,y
1238349807.414,45.301,10.69,y
1238352002.516,37.495,10.686,y
1243255397.266,36.625,10.661,y
1239787681.109,35.205,10.645,y
1253018870.258,27.308,10.636,y
1239993643.633,27.9,10.601,y
1253363658.273,30.734,10.601,y
1243257995.609,28.43,10.599,y
1243336577.227,27.308,10.596,y
1240769382.008,30.734,10.589,y
1243251327.516,36.625,10.547,y
1252940870.648,34.59,10.524,y
1250440162.758,30.734,10.522,y
1240924508.891,34.378,10.485,y
1243336660.570,34.59,10.47,y
1243443939.727,27.308,10.441,y
1243439245.422,32.268,10.426,y
1240842599.305,27.308,10.416,y
1239555525.922,35.205,10.414,y
1239202279.258,35.306,10.406,y
1243265043.328,36.625,10.383,y
1239397641.133,24.802,10.362,y
1243612742.492,38.93,10.361,y
1253298754.453,30.288,10.352,y
1243687069.234,36.625,10.331,y
1239636691.516,29.138,10.278,y
1243618259.172,34.378,10.262,y
1243255406.672,34.378,10.231,y
1238355527.609,35.205,10.222,y
1243615899.367,27.308,10.202,y
1243337171.742,30.734,10.199,y
1243360087.508,27.308,10.175,y
1238938027.148,31.386,10.145,y
1239993638.516,31.034,10.141,y
1243264028.445,27.308,10.136,y
1243282229.172,32.268,10.134,y
1243615669.391,34.378,10.118,y
1239195997.773,27.9,10.106,y
1250540396.984,30.288,10.098,y
1249765242.805,27.308,10.075,y
1243424541.180,24.264,10.071,y
1239439572.047,35.205,10.051,y
1243436670.211,27.308,10.023,y
1243446323.211,43.814,10.005,y
1239788230.484,39.935,9.978,y
1243260940.961,34.59,9.936,y
1243256356.680,27.308,9.927,y
1250276914.695,30.734,9.884,y
1250431528.930,27.308,9.871,y
1243689858.766,41.57,9.869,y
1238662455.516,37.495,9.865,y
1243598915.484,32.268,9.835,y
1243614030.578,32.268,9.834,y
1243192578.047,32.268,9.815,y
1243254065.055,30.734,9.814,y
1239197628.195,31.386,9.807,y
1243623182.609,34.378,9.795,y
1238242472.242,31.386,9.786,y
1243266119.172,34.378,9.77,y
1243620113.289,44.288,9.731,y
1240924300.102,44.288,9.687,y
