GPStime,peakFreq,snr,Standard example?(y/n)
1253432956.581,115.113,186.773,y
1250427024.302,115.113,158.747,y
1242879781.401,142.363,169.03,y
1243123310.232,60.857,153.943,y
1244734158.697,49.208,208.107,y
1247798415.493,142.363,136.675,y
1243748876.825,142.363,207.808,y
1247766717.341,115.113,177.78,y
1250224606.204,176.063,197.31,y
1244992980.294,217.741,183.604,y
1251152784.146,142.363,210.117,y
1240525221.623,58.396,191.687,y
1253753769.390,142.363,124.586,y
1246561034.202,115.113,118.219,y
1244753680.929,115.113,277.372,y
1239448264.818,89.676,256.796,y
1241470827.153,142.363,204.914,y
1252611407.848,39.789,193.619,y
1251922751.404,60.857,121.69,y
1249832420.175,176.063,226.46,y
1246497623.580,93.079,157.256,y
1246035930.015,142.363,233.131,y
1242870345.786,142.363,185.383,y
1251451009.288,142.363,219.721,n
1253725398.077,142.363,201.029,y
1249276203.718,142.363,194.687,y
1248152286.909,176.063,170.306,y
1247842212.216,115.113,162.83,y
1241304175.144,115.113,163.799,y
1245958255.694,115.113,161.326,y
1244145066.479,115.113,178.48,y
1245333810.600,60.857,126.416,y
1253226201.235,115.113,159.381,y
1242958181.212,217.741,186.071,y
1240786739.351,142.363,232.919,y
1248437283.663,115.113,157.637,y
1251918252.083,115.113,180.651,y
1250700376.998,49.208,237.289,y
1240293999.674,89.676,168.851,y
1249720422.866,115.113,126.049,y
1240633518.115,72.366,94.11,n
1247550609.772,142.363,89.9,y
1248992895.631,93.079,219.177,n
1243826514.789,217.741,241.873,y
1250768121.144,142.363,178.409,y
1242087849.666,60.857,113.96,y
1252338569.681,176.063,183.011,y
1248382461.475,93.079,84.933,y
1251310972.533,49.208,64.322,y
1250514883.843,176.063,162.882,y
1242415594.440,115.113,167.885,y
1247685090.733,142.363,161.603,y
1249669467.377,49.208,145.475,y
1250469967.694,142.363,422.106,y
1251879768.483,142.363,176.842,y
1253311619.674,269.285,190.202,y
1241143338.270,217.741,58.958,n
1252138626.701,217.741,170.014,y
1251071172.432,75.263,146.294,y
1244952422.685,115.113,119.128,y
1251777694.661,142.363,205.95,y
1253617788.974,142.363,115.732,y
1253447736.119,93.079,179.814,y
1245325898.104,217.741,162.837,y
1244669671.975,93.079,209.285,y
1244612150.852,269.285,239.532,y
1248654305.284,115.113,190.014,y
1250210326.374,115.113,147.842,y
1248775237.970,176.063,136.798,y
1249703948.796,217.741,178.127,y
1246660430.811,60.857,150.682,y
1241016231.958,115.113,134.553,y
1245204287.143,75.263,111.595,y
1248044274.342,60.857,79.958,y
1247886363.859,217.741,203.308,y
1251630056.587,115.113,148.211,y
1244810377.280,217.741,155.097,y
1248324351.032,176.063,138.299,y
1247781415.400,60.857,161.16,y
1246383169.804,176.063,167.578,y
1251873716.419,217.741,181.462,y
1245956690.734,217.741,220.408,y
1245783014.862,115.113,202.047,y
1251387242.645,217.741,209.291,y
1244751750.661,115.113,141.192,n
1250837726.514,93.079,104.702,n
1249455306.255,176.063,99.712,y
1253092596.062,411.865,331.382,y
1251283710.381,411.865,283.305,y
1253961714.232,269.285,267.799,y
1253928181.991,411.865,375.7,y
1250441487.493,176.063,128.543,y
1242309336.852,217.741,409.262,y
1244881861.939,269.285,269.954,y
1249639153.989,115.113,400.635,y
1253650146.409,115.113,302.972,y
1248041662.397,176.063,176.788,y
1242077140.592,93.079,261.705,y
1252382395.396,93.079,171.69,y
1250201767.237,217.741,182.539,y
