"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1246605798.116,176.063,12.370,4.08e-23,2076.710,0.130,4043.972900,0.000,0.000,1.000,"2kVPxZR7Dn","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wgbrxsbQVH/2kVPxZR7Dn.png",5.657
1249851176.206,142.363,12.868,4.41e-23,3686.512,0.188,7315.162109,0.000,0.000,1.000,"nNgg39yZYl","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/WKECezRdW5/nNgg39yZYl.png",5.657
1251552965.981,269.285,10.294,3.41e-23,3749.823,0.969,7452.858887,0.000,0.000,1.000,"XZKjAmTvuP","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Xt2bTIUkqF/XZKjAmTvuP.png",5.657
1245975282.913,217.741,11.142,4.29e-23,451.078,0.047,830.596863,0.000,0.000,1.000,"ujSR4eiOGx","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/b0ZfE8VNku/ujSR4eiOGx.png",5.657
1245571783.041,333.030,10.677,3.56e-23,484.944,0.023,762.864441,0.000,0.000,1.000,"ZBv2OUgyBq","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NIuvbq8Q04/ZBv2OUgyBq.png",5.657
1249351602.411,779.059,26.494,1.24e-22,1567.801,0.125,3064.043457,0.000,0.000,1.000,"VprC9vl3sC","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9RnWmrLmEp/VprC9vl3sC.png",5.657
1249672772.293,32.173,36.604,4.83e-22,3361.318,1.750,6692.046387,0.000,0.000,1.000,"zcy7Y5GaTQ","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Wkr7aFGQmb/zcy7Y5GaTQ.png",5.657
1251545538.100,509.363,9.140,3.50e-23,599.740,0.025,943.450439,0.000,0.000,1.000,"uplOlVeAD9","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GvupH8vWgZ/uplOlVeAD9.png",5.657
1240504309.441,211.477,8.640,2.79e-23,3499.317,0.309,6930.313477,0.000,0.000,1.000,"GVadw85MkH","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Qy4bJiANjD/GVadw85MkH.png",5.657
1253537935.193,269.285,68.951,2.33e-22,1559.369,0.875,3080.907227,0.000,0.000,1.000,"FDUhEbXon4","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tClQeaHzVD/FDUhEbXon4.png",5.657
1246491005.653,269.285,16.081,5.40e-23,3952.333,0.761,7846.804688,0.000,0.000,1.000,"DmdCkOyJxQ","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/UZIlJNX3MZ/DmdCkOyJxQ.png",5.657
1244880666.402,217.741,20.579,6.48e-23,3986.631,1.508,7927.704590,0.000,0.000,1.000,"bhskweKaQJ","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/VB4ES8TTcB/bhskweKaQJ.png",5.657
1244610927.667,333.030,123.054,4.16e-22,3982.889,1.836,7935.187988,0.000,0.000,1.000,"w6NiofLpRw","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/jTQg8eGQDX/w6NiofLpRw.png",5.657
1244610927.667,333.030,123.054,4.16e-22,3982.889,1.836,7935.187988,0.000,0.000,1.000,"HijRHnpUVg","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/UHNgkGpK6y/HijRHnpUVg.png",5.657
1252535302.624,217.741,9.612,3.16e-23,689.914,0.016,1270.380249,0.000,0.000,1.000,"C7QYeHQ72e","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/I7UeCR1Szg/C7QYeHQ72e.png",5.657
1253354587.476,269.285,9.147,3.00e-23,467.027,0.023,798.698303,0.000,0.000,1.000,"cF0co7Id98","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LD79Ar0deR/cF0co7Id98.png",5.657
1250046412.784,176.063,14.530,4.79e-23,364.737,0.438,671.612122,0.000,0.000,1.000,"3bZvwp2ynD","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/t0V2sgELgT/3bZvwp2ynD.png",5.657
1243526672.010,217.741,9.235,3.03e-23,2412.406,0.026,4657.414551,0.000,0.000,1.000,"5Kj5CXCUWK","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hW7ej5S7DW/5Kj5CXCUWK.png",5.657
1248757443.993,142.363,15.642,5.50e-23,3624.573,2.375,7218.556152,0.000,0.000,1.000,"IgoMNq2dzM","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/EFe3YOtTQe/IgoMNq2dzM.png",5.657
1252213275.982,217.741,53.302,1.84e-22,1559.369,1.500,3080.907227,0.000,0.000,1.000,"Io1UUSu3tw","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9x4swlGiGb/Io1UUSu3tw.png",5.657
1252213275.982,217.741,53.302,1.84e-22,1559.369,1.500,3080.907227,0.000,0.000,1.000,"Mq0pIGCa2h","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/nwpT2E3fE7/Mq0pIGCa2h.png",5.657
1246107818.268,411.865,11.585,4.02e-23,2860.226,0.379,5585.097168,0.000,0.000,1.000,"GslwM0hWsK","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/A51YYDLXd3/GslwM0hWsK.png",5.657
1239975274.902,402.439,63.977,2.37e-22,3984.217,1.389,7932.532227,0.000,0.000,0.999,"n2TBjfKHZb","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ehxnb5Xw3g/n2TBjfKHZb.png",5.657
1249316775.527,217.741,10.389,3.40e-23,199.643,0.047,341.425415,0.000,0.000,0.999,"PJSTY20Iq7","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/s2O7vYEIZ9/PJSTY20Iq7.png",5.657
1244980448.538,142.363,60.283,2.17e-22,3705.008,1.125,7373.901367,0.000,0.000,0.999,"gBwrg7XPQr","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/fMrgPucyg7/gBwrg7XPQr.png",5.657
1240270470.236,89.676,9.093,3.49e-23,201.924,0.047,319.184143,0.000,0.000,0.999,"ES1b3jJLtq","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/6vXs61ycxw/ES1b3jJLtq.png",5.657
1252900751.712,411.865,20.890,7.58e-23,3644.287,0.296,7179.127441,0.000,0.000,0.999,"5HDoSQTNWW","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/h6T0J3cuRB/5HDoSQTNWW.png",5.657
1249351602.718,217.741,14.571,4.76e-23,961.202,0.109,1864.541748,0.000,0.000,0.999,"Now7wdxETl","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9RnWmrLmEp/Now7wdxETl.png",5.657
1251270743.279,411.865,7.954,2.94e-23,1647.809,0.044,2904.026367,0.000,0.000,0.999,"eYfqlc4Bhi","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MTemPUdfP6/eYfqlc4Bhi.png",5.657
1246352004.720,176.063,15.610,5.15e-23,2083.260,0.328,4119.733887,0.000,0.000,0.999,"Rbf0m04u4B","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/sGIBxXBZCw/Rbf0m04u4B.png",5.657
1243728862.821,142.363,9.525,3.23e-23,219.017,0.047,302.678375,0.000,0.000,0.999,"3IiDBPBRtr","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Wt4B6rTXqH/3IiDBPBRtr.png",5.657
1249224918.761,217.741,11.311,3.63e-23,3412.864,0.438,6778.941895,0.000,0.000,0.999,"Fkw3k50fj2","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hDO0hcadGB/Fkw3k50fj2.png",5.657
1242016037.995,115.113,33.081,1.22e-22,3984.270,1.280,7932.425781,0.000,0.000,0.999,"7xeOtIdlVF","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/QEVsG8Sq1g/7xeOtIdlVF.png",5.657
1242412416.868,115.113,11.871,4.13e-23,3594.617,0.448,7142.447754,0.000,0.000,0.999,"s8K0op6Qq9","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8yHOfNYoeO/s8K0op6Qq9.png",5.657
1244159606.347,176.063,10.713,3.48e-23,256.375,0.109,403.303650,0.000,0.000,0.999,"OEkY9xCuJy","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/89m2OJJVwt/OEkY9xCuJy.png",5.657
