GPStime,peakFreq,snr,Standard example? (y/n)
1241322022.625,32.415,18.403,y
1240351652.406,62.665,29.029,y
1238935171.813,62.416,13.257,y
1250879290.625,31.213,14.278,n
1241680055.375,31.213,12.421,y
1247871691.125,31.213,10.596,n
1249781659.969,45.948,31.02,y
1241679420.938,31.594,11.159,n
1243450315.813,31.035,8.409,y
1253331031.313,65.212,221.59,y
1241932978.875,32.11,13.115,y
1248399390.625,31.213,9.921,n
1245198684.938,56.064,13.079,y
1247873766.125,31.509,11.44,y
1241671139.625,30.92,14.62,n
1241680140.313,31.035,14.415,y
1253362400.688,19.871,14.472,y
1238545334.625,34.073,12.743,y
1252234378.375,31.213,8.873,n
1242309896.813,31.594,10.183,n
1252096268.875,30.341,19.923,y
1252113656.563,31.035,9.955,y
1250542993.875,18.502,30.023,y
1244889102.219,45.136,20.516,y
1250879732.813,31.594,13.163,y
1247874457.313,31.035,11.627,n
1241684534.313,62.203,13.946,y
1241242675.125,31.213,14.956,y
1250667183.188,31.035,10.303,n
1241685556.125,31.509,9.339,y
1241474543.188,35.162,12.353,y
1249100902.219,30.749,9.76,y
1253628532.438,31.035,12.385,y
1241257911.813,31.035,13.999,y
1238544343.938,30.736,12.649,y
1245551779.625,26.085,46.674,y
1248189272.625,30.92,9.295,y
1243688410.563,28.388,10.91,y
1243337574.625,32.415,12.158,y
1242316342.688,34.541,98.17,y
1243993745.625,31.213,10.635,n
1251408784.375,31.213,9.196,y
1250600172.063,28.898,9.69,y
1241470957.688,31.035,10.227,y
1239439897.313,31.288,7.988,y
1250879796.188,31.035,13.071,y
1243993749.125,32.415,9.843,y
1250450948.063,31.035,7.815,y
1253561943.438,31.594,13.979,y
1249907723.875,33.033,9.154,y
1250543149.438,46.853,263.193,y
1250865550.313,31.594,9.915,y
1245647400.125,27.347,155.604,y
1252114684.125,30.92,12.034,y
1251493732.625,30.629,8.322,y
1238374945.313,19.714,29.006,y
1241670903.344,30.749,11.085,y
1243458988.688,30.487,10.161,y
1253400880.875,31.809,142.597,y
1241477150.094,30.749,13.062,y
1238416694.080,58.396,11.145,y
1253100694.875,18.502,33.731,y
1247874020.188,31.035,11.93,y
1250540489.875,27.868,86.658,y
1244822536.563,30.487,21.238,n
1241932963.875,31.509,9.779,n
1241479264.688,31.035,8.666,y
1243600266.438,32.741,9.305,y
1243688412.938,31.594,9.916,y
1241954042.563,31.594,8.619,n
1242300269.063,31.035,8.761,y
1243458981.625,29.493,10.736,y
1246830176.938,31.035,10.366,y
1252114350.688,31.594,8.693,y
1250617992.625,32.723,9.92,y
1250617488.875,31.213,11.332,y
1241668608.625,31.213,9.666,n
1253533968.563,31.035,78.898,y
1241813840.188,35.965,208.884,y
1252088802.625,32.11,9.174,n
1241474525.125,30.92,15.056,y
1241644671.625,28.669,18.064,y
1250540977.875,18.742,36.53,y
1249851766.063,32.741,11.773,y
1250453029.813,30.487,9.308,y
1240160040.188,31.851,8.209,n
1241474292.125,32.723,8.569,y
1245403944.875,31.213,9.306,y
1244664677.813,29.948,8.926,y
1249998921.875,28.941,7.919,y
1241642253.563,31.035,10.539,y
1250540481.125,25.356,90.958,y
1253331007.688,57.134,133.992,y
1243599427.875,27.868,8.082,y
1241643009.125,31.809,12.859,y
1249318908.063,34.541,8.942,y
1238412089.469,77.583,15.051,y
1241685367.875,31.509,8.091,n
1241477921.813,31.594,8.336,n
1240124493.063,31.288,8.229,n
1241812597.875,35.626,197.727,y
1252937465.781,42.784,12.65,y
1250437675.188,33.33,9.506,n
1252954979.063,31.035,7.541,n
1245038189.438,37.762,271.95,y
1253892379.125,31.213,10.569,y
1238412262.438,31.288,7.696,n
1241022630.813,31.594,9.222,y
1250543049.625,24.416,70.396,y
1243620263.938,29.418,8.065,y
1241642027.625,32.723,8.736,y
1251052580.563,46.853,39.679,y
1238415994.719,31.546,8.995,y
1253469262.438,31.035,7.983,y
1249100981.375,31.213,11.546,y
1252424910.844,62.222,14.022,n
1241797622.875,26.333,150.745,y
1241643705.375,32.11,9.675,n
1249330286.438,32.741,9.156,y
1249665471.125,24.416,10.135,y
1241242680.625,32.11,9.471,y
1250023374.688,27.393,9.314,y
1239166846.813,24.384,70.987,y
1239106542.125,33.435,152.612,y
1249668370.125,26.835,8.991,y
1242310981.688,46.853,11.179,y
1253534063.875,28.133,85.618,y
1243686541.375,30.629,10.435,y
1250617763.563,31.594,8.085,y
1247871521.875,31.509,10.354,y
1243348177.375,28.941,8.039,y
1238659444.063,31.288,9.154,y
1253362851.375,30.92,112.992,y
1252939477.375,27.868,13.041,y
1246295839.625,22.854,21.385,y
1250313562.969,45.136,22.209,y
1252298206.125,28.4,8.797,y
1246367802.563,19.519,69.847,y
1243264632.063,29.948,12.917,y
1238425867.063,31.288,12.128,y
1253279970.563,30.487,8.656,y
1249726819.313,28.898,16.046,y
1252088898.875,33.663,11.894,y
1240171119.875,33.12,10.683,y
1238328709.625,30.998,9.458,y
1241686486.719,31.798,8.552,n
1253331036.938,71.672,237.904,y
1247567021.563,19.229,41.462,y
1249663702.688,29.948,11.108,y
1245918905.313,28.898,8.686,y
1238511330.438,24.384,70.719,y
1243339026.625,33.033,11.165,y
1251037294.313,30.487,9.047,y
1250540534.125,31.809,120.108,y
1243687012.813,30.487,9.857,y
1250364442.125,27.09,8.475,y
1250866707.438,31.035,11.782,y
1241016346.188,28.898,10.543,y
1243632578.313,31.594,8.469,y
1243632578.313,31.594,8.469,y
1249921234.875,28.941,10.924,y
1249663700.438,28.898,9.719,y
1250000931.188,28.388,9.222,y
1253277106.875,31.509,7.58,n
1239973836.313,31.288,8.114,y
1238596172.813,23.953,106.616,y
1244086028.625,33.033,10.711,y
1251055610.375,28.941,8.843,y
1241640925.125,32.415,15.037,y
1241812692.813,23.75,43.556,y
1244751815.313,31.035,9.427,y
1253627944.063,29.418,8.226,y
1239621825.313,19.692,52.334,y
1241472499.625,32.11,8.531,y
1241797697.125,18.502,23.116,y
1250879564.375,31.213,17.209,y
1241806003.688,20.228,58.053,y
1241802163.688,20.228,61.901,y
1239168171.688,36.063,188.242,y
1238176986.563,30.736,8.817,y
1253298765.875,19.648,58.856,y
1243601015.875,31.213,9.338,y
1239133932.375,26.645,10.382,y
1249651462.875,32.11,8.682,y
1238510167.813,26.655,66.882,y
1243285190.375,30.056,9.151,y
1248842493.188,31.594,9.717,n
1252955871.563,31.594,7.526,n
1250540704.125,26.835,90.816,y
1250887172.969,31.798,12.393,y
1238238006.438,28.623,9.016,y
1243611506.875,31.809,7.797,y
1243690140.875,30.92,7.594,y
1241016373.875,30.92,189.541,y
1249674655.313,29.948,10.136,y
1242315154.625,18.175,20.574,y
1243614668.688,31.035,9.244,y
1243255626.625,28.669,8.297,y
1250005305.063,19.519,34.254,y
1241795108.188,26.909,70.989,y
1239202309.375,30.417,10.136,y
1241800335.313,19.174,43.258,y
1250363974.438,27.393,10.132,y
1252784943.875,30.629,9.123,y
1243600717.813,31.594,10.71,y
1253199593.375,29.493,7.781,y
1243621634.125,30.056,10.296,y
1243429910.375,28.133,8.785,y
1253303694.875,31.809,7.542,y
1253362909.313,19.871,32.26,y
1250082228.969,31.798,9.457,y
1241797685.938,19.174,31.622,y
1238509020.688,19.692,25.777,y
1253195894.938,26.433,9.022,y
1241686237.313,62.203,28.61,y
1253101495.313,19.174,44.144,y
1253101495.313,19.174,44.144,y
1241475568.938,31.035,8.866,n
1243632782.625,30.629,8.882,y
1243632573.563,29.948,8.544,y
1241214058.813,42.229,268.273,y
1239997944.125,32.499,8.927,y
1241470631.438,62.203,11.254,y
1241468717.844,30.749,7.655,y
1243725088.813,30.487,8.947,y
1241640391.406,49.345,15.78,y
