GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1243679046,39.789,35.21,2.70E-22,3982.889,1.25,7935.187988,0,0,1,BYJR52GZqM,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7XUCjq25Uk/BYJR52GZqM.png,5.657
1250540899,39.789,32.256,2.74E-22,86.807,1.5,143.024033,0,0,1,2xI2dGbYbp,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/oG7gAHklnz/2xI2dGbYbp.png,5.657
1249463266,39.789,32.082,2.53E-22,86.807,1.5,143.024033,0,0,1,09hHvSRTH6,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/06k08uFmKz/09hHvSRTH6.png,5.657
1243933156,39.789,29.365,2.19E-22,3982.889,1.16,7935.187988,0,0,1,0KZ1gVyd2u,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/aohtsAcPhA/0KZ1gVyd2u.png,5.657
1246398634,39.789,28.776,2.22E-22,3835.489,0.875,7640.387695,0,0,1,MUL71VziSm,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5606JjF27b/MUL71VziSm.png,5.657
1253921604,39.789,28.703,2.23E-22,3871.818,1.25,7713.046875,0,0,1,wpWTts0U1B,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/T1xk7fRKpE/wpWTts0U1B.png,5.657
1248320152,39.789,28.304,2.28E-22,3425.279,1,6819.967285,0,0,1,EBh0S8I0oc,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/D8wdMNnoFO/EBh0S8I0oc.png,5.657
1244937659,39.789,28.261,2.11E-22,71.655,1.25,112.7202,0,0,1,LsGGikVa5n,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/L2DroUiwiK/LsGGikVa5n.png,5.657
1245896289,39.789,28.042,2.16E-22,3835.489,0.875,7640.387695,0,0,1,CdCp8rC03E,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ynS3BUrRaq/CdCp8rC03E.png,5.657
1246315538,39.789,27.948,2.12E-22,3616.593,0.896,7195.354492,0,0,1,kXC7pmKH1f,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/y1IDYbV7s0/kXC7pmKH1f.png,5.657
1253821701,39.789,27.774,2.13E-22,71.655,1,112.7202,0,0,1,O0pSBLYXi3,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zDL3ePzBCS/O0pSBLYXi3.png,5.657
1247717315,49.208,27.446,1.74E-22,3982.889,1,7935.187988,0,0,1,VhNOQhE3vx,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7MWI8EuO1E/VhNOQhE3vx.png,5.657
1246568885,39.789,27.322,2.67E-22,88.617,1.25,139.403442,0,0,1,f2lsj0oP7Q,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mFHktoscQH/f2lsj0oP7Q.png,5.657
1246661272,49.208,27.322,1.71E-22,3801.311,0.875,7564.791016,0,0,1,LpZlXd9L3K,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YCfEkrJEPK/LpZlXd9L3K.png,5.657
1241265757,39.789,27.277,2.07E-22,3947.325,1.13,7856.819824,0,0,1,pyKbs0YEIh,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/p045Uyu1E8/pyKbs0YEIh.png,5.657
1243754237,39.789,27.114,2.07E-22,3883.332,1.056,7728.83252,0,0,1,40uYw3QgIE,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8PblJC45Ls/40uYw3QgIE.png,5.657
1244754605,39.789,26.796,2.11E-22,1905.727,1,3780.86377,0,0,1,rX3tKwebna,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NOdj0ZcmIz/rX3tKwebna.png,5.657
